eventId,trainId,eventType,stationCode,distanceCovered,totalDistance,noOfDays,expectedArrivalTime,actualArrivalTime,expectedDepartureTime,actualDepartureTime,createdDate
1342c8f5-f826-471d-9fd2-3135e101d2e0,7094625,Departure,PR,0,290,1,,,18:21,18:21,2025-06-26 15:02:52.984082
7bd5593f-0487-4199-8dec-844a3b1365ac,9489198,Departure,AIRL,0,1569,4,,,07:16,07:16,2025-06-26 15:02:52.985922
8de9a62a-fed2-4736-8041-8dc385a63807,5934486,Departure,DLV,0,1189,5,,,08:03,08:03,2025-06-26 15:02:52.987543
4a23b3e0-f951-4574-8a39-86305208fb40,3655563,Departure,JCNR,0,1567,3,,,02:38,03:19,2025-06-26 15:02:52.989152
913aa1b9-9195-4812-8826-625eaabb518c,8030981,Departure,BY,0,121,2,,,03:11,03:21,2025-06-26 15:02:52.990920
a6edbf12-a97e-48be-bf2e-dad619c3b5ed,2216292,Departure,PNVL,0,341,3,,,18:21,18:21,2025-06-26 15:02:52.992377
dbb51897-0cc2-4698-ad8e-7b8316236f19,2446890,Departure,TNA,0,546,3,,,03:05,03:05,2025-06-26 15:02:52.994018
93057ced-14bf-4a22-8828-45a49cee6a87,3114930,Departure,PEN,0,1993,5,,,13:21,14:02,2025-06-26 15:02:52.995589
5838fa48-39f8-4071-a9fa-6bc0edb18dc7,3667779,Departure,DIVA,0,300,2,,,03:30,03:30,2025-06-26 15:02:52.997347
6c19c20a-7757-47a8-9a07-7aa96cbba7f8,3987281,Departure,KOPR,0,691,1,,,20:30,20:35,2025-06-26 15:02:52.998857
f824c0e4-7d7a-423e-8204-362b0681d831,1567345,Departure,B/BA,0,1772,1,,,04:17,04:33,2025-06-26 15:02:53.000483
e67d9178-e64c-4b8a-8202-43c52affebf2,5178449,Departure,VTN,0,102,4,,,02:12,02:58,2025-06-26 15:02:53.002038
58483a43-62ca-446b-bf1b-5f3a10950fe6,4142006,Departure,SVE,0,519,2,,,15:41,15:41,2025-06-26 15:02:53.003853
bb5847e9-89ba-43e5-972e-d74c33b79ce6,7864991,Departure,BSR/BS,0,1596,4,,,08:20,08:58,2025-06-26 15:02:53.005541
5e5ea26b-aec4-4ca9-9444-077cd2b5428c,9865697,Departure,KHAG,0,1688,2,,,12:06,12:06,2025-06-26 15:02:53.007068
94f1d52e-4283-4ec7-a7b5-dba75a48a910,6889484,Departure,CTGN,0,848,1,,,07:54,07:54,2025-06-26 15:02:53.008509
d7a60c50-94f3-4db7-8017-18828fcc67e2,7519772,Departure,BY,0,235,3,,,23:43,23:50,2025-06-26 15:02:53.010169
9d71cceb-b0ac-441b-a936-f7729f7e2602,2907011,Departure,SNCR,0,1679,1,,,16:48,16:48,2025-06-26 15:02:53.011991
56fa8ee7-b354-4995-bdfe-599572730f3d,8798883,Departure,VR,0,174,2,,,13:05,13:32,2025-06-26 15:02:53.013847
3350bba4-681a-46c4-a03b-6307c4e90b69,1242278,Departure,JITE,0,1256,1,,,02:07,02:18,2025-06-26 15:02:53.015383
4c51e8ad-5de5-48ab-aa16-366201dd617a,3320565,Departure,VTN,0,453,2,,,09:32,10:22,2025-06-26 15:02:53.017053
ee12bc0d-7374-45ea-bcdd-baccade76820,3219221,Departure,NIG,0,1021,4,,,00:16,00:21,2025-06-26 15:02:53.018612
3a5589d1-999f-4d82-8515-5f8099b03de8,6377451,Departure,MSD,0,785,1,,,08:15,08:54,2025-06-26 15:02:53.020217
3164fa6c-4335-4fba-abb6-20a4071e80ce,4108919,Departure,KSRA,0,427,2,,,13:44,13:44,2025-06-26 15:02:53.021927
e150bdd9-f109-48aa-850a-23745f8d1e48,7213265,Departure,NHU,0,123,4,,,01:17,01:17,2025-06-26 15:02:53.023465
