trainId,trainNo,category,operator
3952055,12723,Superfast,Govt
1366495,22416,Local,Govt
1158757,12724,Passenger,Joint
1152508,12707,Superfast,Govt
4197816,15909,Mail,Joint
7667759,18242,Express,Govt
7132375,11266,Passenger,Govt
2706728,58702,Express,Govt
1512927,54703,Superfast,Private
3987539,7509,Mail,Govt
1851730,9416,Superfast,Private
9714240,19417,Mail,Govt
5944291,9427,Express,Govt
5228716,9018,Local,Govt
7902240,14804,Express,Private
6980243,4804,Express,Private
3954614,9421,Local,Govt
8706060,19130,Superfast,Govt
5514970,2713,Superfast,Govt
1862509,19420,Superfast,Govt
9484464,9417,Local,Govt
1654836,12931,Local,Govt
4425396,12267,Mail,Joint
3536569,12298,Local,Private
8205317,9425,Superfast,Govt
6357110,19223,Express,Private
7778850,19606,Passenger,Joint
6541773,19401,Local,Joint
9869621,9413,Local,Private
2340848,9420,Local,Private
5563937,9411,Passenger,Govt
9962920,19421,Passenger,Joint
1910684,18406,Passenger,Govt
6227475,12844,Local,Private
7827328,7017,Passenger,Joint
6469209,12958,Mail,Joint
5356842,19415,Local,Private
2884022,19944,Superfast,Private
4501139,19407,Express,Private
8753779,16501,Mail,Private
9390567,12547,Passenger,Private
4697811,12195,Express,Joint
6147159,9612,Passenger,Private
9055468,12036,Mail,Govt
2626319,15055,Mail,Govt
9592058,12954,Local,Private
1306594,12320,Local,Govt
1855936,13168,Passenger,Private
4761940,1436,Express,Joint
3281878,12342,Passenger,Govt
9999073,12341,Superfast,Joint
5594537,12548,Mail,Joint
9847173,52575,Mail,Private
4288944,22645,Mail,Joint
3559871,22646,Passenger,Govt
3772509,11095,Superfast,Govt
4428227,11096,Passenger,Joint
6797486,16502,Passenger,Private
4351977,59439,Local,Joint
1835954,59440,Superfast,Govt
7037316,19405,Passenger,Govt
7957973,11050,Mail,Govt
8409514,59441,Passenger,Private
6134415,59442,Express,Govt
2004714,9649,Passenger,Govt
8060839,12196,Mail,Private
7638825,5712,Mail,Govt
4940909,22996,Superfast,Joint
4853668,9611,Superfast,Joint
2738271,9619,Express,Private
8560669,9602,Passenger,Private
6880488,9601,Local,Private
6303671,13424,Mail,Joint
7400828,5286,Local,Govt
9080752,12983,Mail,Govt
9660425,5104,Passenger,Govt
7406685,5238,Superfast,Govt
7317232,12990,Mail,Joint
9750582,9627,Passenger,Govt
7593810,4042,Mail,Govt
5466729,18208,Passenger,Joint
6286107,19609,Express,Govt
8266993,9640,Mail,Private
3814167,3002,Mail,Govt
6167883,17019,Passenger,Govt
4907474,12719,Express,Govt
8745149,7126,Express,Joint
2444718,7019,Superfast,Govt
6965523,9312,Express,Joint
4615317,12066,Mail,Joint
3605475,12413,Superfast,Private
8552336,9621,Local,Govt
8134567,9625,Express,Joint
5209588,54802,Express,Joint
9959333,7130,Mail,Govt
3487530,3138,Passenger,Govt
8721152,19608,Express,Govt
4505258,16209,Mail,Govt
9001872,22211,Express,Private
1837439,18422,Express,Private
1231581,8422,Express,Private
7001686,19654,Mail,Private
8246889,12988,Passenger,Govt
7408020,3180,Superfast,Joint
9970957,19603,Mail,Govt
6722070,19607,Mail,Govt
5816053,17064,Mail,Joint
5196188,17063,Passenger,Govt
6377860,19613,Mail,Private
6061344,19611,Passenger,Govt
9055362,12989,Superfast,Joint
3935259,16210,Mail,Govt
1437639,19411,Superfast,Govt
2024604,12015,Passenger,Govt
2806059,12016,Superfast,Private
5689660,9650,Mail,Govt
5390092,12120,Passenger,Private
4894662,11202,Local,Govt
5377638,17640,Local,Private
3092777,52994,Local,Private
1494225,7507,Passenger,Joint
5001712,12318,Superfast,Govt
6450541,12317,Local,Private
3142840,14311,Passenger,Private
9622610,14312,Express,Private
5653471,7092,Express,Joint
1588038,19418,Superfast,Joint
4278340,9430,Express,Private
2912731,4421,Local,Govt
3999835,7240,Express,Private
5617880,4001,Passenger,Private
5397773,12276,Express,Joint
5225058,12293,Superfast,Joint
5198654,14115,Local,Govt
7611283,4120,Express,Private
7064496,22442,Superfast,Joint
4309421,4121,Mail,Joint
9865697,4131,Local,Joint
4625827,12403,Local,Private
1200756,12294,Superfast,Govt
6771267,4127,Superfast,Govt
1908308,12564,Mail,Private
6231066,1006,Express,Joint
1151943,4115,Local,Govt
4284856,4111,Superfast,Private
4781493,4423,Passenger,Govt
7815424,7514,Express,Govt
6170218,7512,Superfast,Govt
6518142,4113,Local,Joint
6752279,8576,Mail,Joint
1078874,9429,Passenger,Private
4044786,22639,Mail,Govt
4095561,16308,Local,Joint
3028327,12587,Mail,Private
6574204,18047,Express,Joint
8655132,17225,Express,Joint
2891650,17226,Express,Private
4592350,12853,Passenger,Private
7314058,12854,Express,Joint
6865993,15098,Express,Joint
9754551,15097,Superfast,Private
4123166,15653,Superfast,Govt
5929461,11265,Superfast,Joint
4475870,13138,Express,Private
8789831,11054,Passenger,Joint
9031155,12119,Local,Govt
8653356,12159,Passenger,Govt
8055805,11406,Local,Private
6326328,12766,Local,Joint
6989338,9050,Passenger,Govt
2212125,12112,Local,Joint
3278288,16343,Passenger,Private
4502235,16344,Express,Govt
1982531,12483,Express,Govt
8899608,13049,Local,Private
7603070,11057,Superfast,Govt
3484644,13005,Superfast,Private
1953147,12014,Superfast,Private
9730209,12032,Superfast,Joint
1122083,12013,Passenger,Joint
9427984,12031,Express,Private
7299247,22128,Local,Joint
4512879,22127,Superfast,Private
9142958,16723,Mail,Joint
6579896,16724,Local,Joint
8987823,12316,Mail,Private
8727573,16031,Express,Govt
4156285,16032,Local,Joint
4170235,12254,Local,Joint
1469740,12253,Express,Joint
5549439,12315,Express,Joint
3136421,4422,Local,Private
1934335,4118,Local,Private
8582050,4028,Local,Private
4181072,3518,Local,Govt
9366303,22406,Express,Private
1010166,14152,Mail,Govt
3307201,12211,Local,Joint
2045240,22409,Express,Private
8766837,2398,Passenger,Private
4030958,5028,Local,Joint
1360753,15058,Express,Joint
9020785,5052,Passenger,Private
4084557,5036,Superfast,Private
3072921,5040,Passenger,Private
8622979,5050,Superfast,Private
6720616,5058,Passenger,Govt
5079148,12444,Express,Joint
1543418,12040,Express,Joint
4207778,13132,Local,Joint
9190883,3126,Passenger,Private
5871401,15622,Mail,Joint
9633971,15026,Local,Private
9269843,13430,Local,Joint
7556183,3210,Mail,Joint
2853928,2394,Mail,Govt
7304596,2365,Passenger,Private
4131009,2527,Express,Private
3994373,22488,Mail,Joint
7387366,12428,Passenger,Govt
4926487,3190,Passenger,Private
